Kamu saat ini berada di semester berapa?,Berapa jam rata-rata per minggu kamu gunakan untuk belajar mandiri (di luar kelas)?,Bagaimana tingkat prioritasmu terhadap IPK?,Apakah kamu aktif mengikuti organisasi/UKM di kampus?,Berapa jam rata-rata per minggu untuk organisasi/UKM?,Apakah kamu bekerja part-time/freelance?,Berapa jam rata-rata per minggu untuk pekerjaan/hobi/olahraga?,Seberapa penting kegiatan non-akademik bagimu?,"Seberapa sering kamu mengikuti kegiatan akademik tambahan (kuliah tamu, seminar, workshop)?_0.0","Seberapa sering kamu mengikuti kegiatan akademik tambahan (kuliah tamu, seminar, workshop)?_1.5","Seberapa sering kamu mengikuti kegiatan akademik tambahan (kuliah tamu, seminar, workshop)?_3.5","Seberapa sering kamu mengikuti kegiatan akademik tambahan (kuliah tamu, seminar, workshop)?_sangat sering (lebih dari 1 kali per bulan)","Seberapa sering kamu mengikuti kegiatan akademik tambahan (kuliah tamu, seminar, workshop)?_sering (hampir tiap bulan)",cluster
1.3862943611198906,0.5,1.6094379124341005,1,1.6094379124341005,0.0,0.4054651081081644,3,0.0,1.0,0.0,0.0,0.0,2
1.3862943611198906,4.0,1.6094379124341005,0,0.9162907318741552,0.0,0.9162907318741552,3,0.0,0.0,1.0,0.0,0.0,3
0.6931471805599453,4.0,1.6094379124341005,1,1.6094379124341005,0.0,1.6094379124341005,3,0.0,1.0,0.0,0.0,0.0,3
0.6931471805599453,0.5,1.0986122886681096,0,0.4054651081081644,0.0,0.9162907318741552,2,0.6931471805599453,0.0,0.0,0.0,0.0,0
1.3862943611198906,1.5,1.6094379124341005,1,1.6094379124341005,0.0,0.9162907318741552,3,0.0,1.0,0.0,0.0,0.0,2
1.3862943611198906,7.75,1.6094379124341005,1,2.327277705584417,0.0,0.9162907318741552,3,0.0,0.0,1.0,0.0,0.0,1
1.3862943611198906,4.0,1.6094379124341005,1,1.6094379124341005,0.6931471805599453,0.9162907318741552,3,0.0,1.0,0.0,0.0,0.0,3
1.791759469228055,4.0,1.6094379124341005,1,1.6094379124341005,0.0,0.9162907318741552,2,0.0,0.0,1.0,0.0,0.0,3
0.6931471805599453,4.0,1.6094379124341005,0,0.9162907318741552,0.6931471805599453,1.6094379124341005,3,0.0,0.0,1.0,0.0,0.0,3
1.3862943611198906,7.75,1.3862943611198906,0,0.9162907318741552,0.6931471805599453,2.602689685444384,3,0.0,1.0,0.0,0.0,0.0,1
0.6931471805599453,0.5,1.6094379124341005,1,0.4054651081081644,0.0,0.4054651081081644,1,0.0,1.0,0.0,0.0,0.0,2
0.6931471805599453,1.5,1.6094379124341005,1,0.9162907318741552,0.0,0.9162907318741552,3,0.0,1.0,0.0,0.0,0.0,2
1.791759469228055,4.0,1.6094379124341005,1,1.6094379124341005,0.0,0.9162907318741552,3,0.0,1.0,0.0,0.0,0.0,3
1.791759469228055,1.5,1.6094379124341005,1,2.079441541679836,0.6931471805599453,2.4423470353692043,2,0.0,1.0,0.0,0.0,0.0,2
1.791759469228055,1.5,1.3862943611198906,1,2.327277705584417,0.0,1.6094379124341005,3,0.0,1.0,0.0,0.0,0.0,2
1.3862943611198906,4.0,1.6094379124341005,0,0.4054651081081644,0.0,0.4054651081081644,2,0.0,0.0,0.0,0.0,0.6931471805599453,3
1.3862943611198906,7.0,1.6094379124341005,1,1.6094379124341005,0.0,1.6094379124341005,3,0.0,0.0,1.0,0.0,0.0,1
1.3862943611198906,1.5,1.6094379124341005,1,1.6094379124341005,0.0,0.9162907318741552,3,0.0,0.0,1.0,0.0,0.0,2
1.3862943611198906,7.0,1.3862943611198906,0,0.4054651081081644,0.0,2.079441541679836,2,0.0,1.0,0.0,0.0,0.0,1
0.6931471805599453,7.0,1.6094379124341005,0,1.6094379124341005,0.0,1.6094379124341005,2,0.0,0.0,1.0,0.0,0.0,1
1.791759469228055,1.5,1.3862943611198906,1,0.4054651081081644,0.0,1.6094379124341005,3,0.0,1.0,0.0,0.0,0.0,2
0.6931471805599453,1.5,1.6094379124341005,1,1.6094379124341005,0.0,1.6094379124341005,2,0.0,1.0,0.0,0.0,0.0,2
1.791759469228055,7.0,1.6094379124341005,1,2.079441541679836,0.0,2.079441541679836,3,0.0,1.0,0.0,0.0,0.0,1
1.791759469228055,4.0,1.3862943611198906,0,0.4054651081081644,0.6931471805599453,2.4423470353692043,3,0.0,0.0,1.0,0.0,0.0,3
1.3862943611198906,4.0,1.3862943611198906,1,0.9162907318741552,0.6931471805599453,1.6094379124341005,4,0.0,1.0,0.0,0.0,0.0,3
1.791759469228055,4.0,1.6094379124341005,1,2.079441541679836,0.0,2.079441541679836,3,0.0,0.0,1.0,0.0,0.0,3
0.6931471805599453,1.5,1.6094379124341005,0,0.4054651081081644,0.0,2.4423470353692043,4,0.6931471805599453,0.0,0.0,0.0,0.0,0
1.791759469228055,1.5,1.3862943611198906,0,0.4054651081081644,0.0,0.9162907318741552,2,0.0,0.0,1.0,0.0,0.0,0
0.6931471805599453,1.5,1.0986122886681096,0,0.4054651081081644,0.0,0.9162907318741552,2,0.0,1.0,0.0,0.0,0.0,0
1.3862943611198906,1.5,1.6094379124341005,1,0.9162907318741552,0.0,0.9162907318741552,3,0.0,1.0,0.0,0.0,0.0,2
1.3862943611198906,1.5,1.6094379124341005,1,0.9162907318741552,0.0,0.9162907318741552,3,0.0,0.0,1.0,0.0,0.0,2
1.791759469228055,7.75,1.6094379124341005,1,2.079441541679836,0.0,0.4054651081081644,3,0.0,0.0,1.0,0.0,0.0,1
1.3862943611198906,1.5,1.6094379124341005,1,1.6094379124341005,0.0,0.9162907318741552,2,0.0,1.0,0.0,0.0,0.0,2
1.791759469228055,7.75,1.6094379124341005,1,1.6094379124341005,0.0,1.6094379124341005,3,0.0,0.0,0.0,0.0,0.6931471805599453,1
0.6931471805599453,7.0,1.6094379124341005,1,1.6094379124341005,0.0,1.6094379124341005,2,0.0,1.0,0.0,0.0,0.0,1
1.3862943611198906,1.5,1.3862943611198906,1,0.9162907318741552,0.6931471805599453,1.6094379124341005,3,0.0,1.0,0.0,0.0,0.0,2
0.6931471805599453,4.0,1.6094379124341005,1,1.6094379124341005,0.0,1.6094379124341005,4,0.0,1.0,0.0,0.0,0.0,3
1.3862943611198906,4.0,1.6094379124341005,0,0.4054651081081644,0.6931471805599453,2.079441541679836,3,0.0,0.0,1.0,0.0,0.0,3
1.791759469228055,1.5,1.6094379124341005,1,0.9162907318741552,0.0,0.4054651081081644,2,0.0,1.0,0.0,0.0,0.0,2
1.791759469228055,7.0,1.6094379124341005,0,0.4054651081081644,0.0,0.9162907318741552,2,0.0,1.0,0.0,0.0,0.0,1
1.3862943611198906,0.5,1.6094379124341005,1,0.9162907318741552,0.6931471805599453,1.6094379124341005,1,0.0,0.0,1.0,0.0,0.0,2
1.791759469228055,7.0,1.3862943611198906,0,0.4054651081081644,0.0,0.9162907318741552,2,0.6931471805599453,0.0,0.0,0.0,0.0,1
1.791759469228055,4.0,1.0986122886681096,0,0.4054651081081644,0.0,1.6094379124341005,2,0.0,0.0,1.0,0.0,0.0,3
0.6931471805599453,1.5,1.3862943611198906,0,0.4054651081081644,0.0,1.6094379124341005,2,0.0,0.0,1.0,0.0,0.0,0
1.791759469228055,7.0,1.6094379124341005,1,2.327277705584417,0.0,2.079441541679836,4,0.0,1.0,0.0,0.0,0.0,1
0.6931471805599453,1.5,1.3862943611198906,0,0.4054651081081644,0.0,2.4423470353692043,2,0.0,1.0,0.0,0.0,0.0,0
0.6931471805599453,1.5,1.6094379124341005,0,1.6094379124341005,0.0,1.6094379124341005,3,0.0,1.0,0.0,0.0,0.0,0
0.6931471805599453,1.5,1.6094379124341005,0,0.4054651081081644,0.0,1.6094379124341005,2,0.0,1.0,0.0,0.0,0.0,0
1.3862943611198906,1.5,1.6094379124341005,0,1.6094379124341005,0.0,0.9162907318741552,2,0.0,0.0,1.0,0.0,0.0,2
1.791759469228055,4.0,1.6094379124341005,0,0.4054651081081644,0.0,2.079441541679836,2,0.0,1.0,0.0,0.0,0.0,3
1.791759469228055,7.0,1.6094379124341005,1,1.6094379124341005,0.0,0.9162907318741552,4,0.0,0.0,1.0,0.0,0.0,1
0.6931471805599453,7.0,1.3862943611198906,0,0.4054651081081644,0.0,2.079441541679836,4,0.0,0.0,0.0,0.0,0.6931471805599453,1
0.6931471805599453,1.5,1.3862943611198906,0,0.4054651081081644,0.0,2.079441541679836,2,0.6931471805599453,0.0,0.0,0.0,0.0,0
1.791759469228055,1.5,1.3862943611198906,1,0.4054651081081644,0.0,0.4054651081081644,2,0.0,0.0,1.0,0.0,0.0,2
0.6931471805599453,7.75,1.3862943611198906,1,1.6094379124341005,0.0,2.4423470353692043,2,0.0,0.0,1.0,0.0,0.0,1
0.6931471805599453,7.0,1.6094379124341005,0,0.4054651081081644,0.0,2.602689685444384,2,0.0,1.0,0.0,0.0,0.0,1
1.3862943611198906,7.0,1.6094379124341005,1,2.327277705584417,0.0,0.9162907318741552,3,0.0,1.0,0.0,0.0,0.0,1
0.6931471805599453,7.75,1.6094379124341005,0,0.4054651081081644,0.0,1.6094379124341005,3,0.0,0.0,1.0,0.0,0.0,1
0.6931471805599453,7.75,1.3862943611198906,0,0.4054651081081644,0.0,1.6094379124341005,3,0.6931471805599453,0.0,0.0,0.0,0.0,1
1.791759469228055,4.0,1.3862943611198906,0,0.4054651081081644,0.0,2.079441541679836,2,0.0,1.0,0.0,0.0,0.0,3
1.3862943611198906,1.5,1.6094379124341005,0,0.4054651081081644,0.0,0.4054651081081644,2,0.0,1.0,0.0,0.0,0.0,0
1.791759469228055,4.0,1.3862943611198906,1,1.6094379124341005,0.0,0.9162907318741552,3,0.0,0.0,1.0,0.0,0.0,3
1.791759469228055,7.75,1.0986122886681096,1,1.6094379124341005,0.6931471805599453,0.9162907318741552,3,0.0,0.0,1.0,0.0,0.0,1
1.791759469228055,1.5,1.6094379124341005,1,0.4054651081081644,0.0,0.9162907318741552,3,0.0,1.0,0.0,0.0,0.0,2
1.791759469228055,4.0,1.3862943611198906,1,1.6094379124341005,0.0,2.079441541679836,2,0.0,1.0,0.0,0.0,0.0,3
1.791759469228055,0.5,1.6094379124341005,1,2.327277705584417,0.0,1.6094379124341005,4,0.0,0.0,1.0,0.0,0.0,2
1.3862943611198906,4.0,1.6094379124341005,0,0.4054651081081644,0.0,1.6094379124341005,2,0.0,0.0,1.0,0.0,0.0,3
1.3862943611198906,4.0,1.0986122886681096,0,0.4054651081081644,0.0,0.9162907318741552,2,0.0,0.0,1.0,0.0,0.0,3
0.6931471805599453,1.5,1.3862943611198906,1,0.9162907318741552,0.0,1.6094379124341005,2,0.6931471805599453,0.0,0.0,0.0,0.0,2
0.6931471805599453,7.0,1.6094379124341005,0,0.4054651081081644,0.0,2.079441541679836,2,0.0,0.0,1.0,0.0,0.0,1
1.791759469228055,1.5,1.6094379124341005,0,0.4054651081081644,0.0,2.079441541679836,3,0.0,1.0,0.0,0.0,0.0,0
1.791759469228055,4.0,1.3862943611198906,0,0.4054651081081644,0.0,1.6094379124341005,3,0.0,1.0,0.0,0.0,0.0,3
0.6931471805599453,0.5,1.6094379124341005,0,0.4054651081081644,0.0,0.4054651081081644,3,0.0,1.0,0.0,0.0,0.0,0
